GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Starter OOPProject-Template,com.client,Main,68,0,0,0,24,0,8,0,8,0
Starter OOPProject-Template,com.client,ServerCommunication,693,0,14,0,112,0,46,0,39,0
Starter OOPProject-Template,com.server.spring,ProfileController,138,16,0,0,33,4,7,2,7,2
Starter OOPProject-Template,com.server.spring,ScoreController,29,3,0,0,7,1,7,1,7,1
Starter OOPProject-Template,com.server.spring,PostController,0,51,0,0,0,13,0,7,0,7
Starter OOPProject-Template,com.server.spring,GreenStreakServer,7,3,0,0,3,1,1,1,1,1
Starter OOPProject-Template,com.server.spring,AuthenticationController,0,21,0,0,0,5,0,5,0,5
Starter OOPProject-Template,com.server.spring,FriendController,18,31,0,0,3,5,3,5,3,5
Starter OOPProject-Template,com.server.debug,DebugTools,3,5,0,0,1,2,1,1,1,1
Starter OOPProject-Template,com.client.controllers,SurveyEditorController,1070,0,52,0,238,0,46,0,20,0
Starter OOPProject-Template,com.client.controllers,UserFriendController,408,0,28,0,109,0,27,0,12,0
Starter OOPProject-Template,com.client.controllers,FeedController,209,0,14,0,52,0,11,0,4,0
Starter OOPProject-Template,com.client.controllers,FriendsCompareController,133,0,0,0,26,0,3,0,3,0
Starter OOPProject-Template,com.client.controllers,ProfileController,715,0,42,0,182,0,27,0,6,0
Starter OOPProject-Template,com.client.controllers,AppFrameController,388,0,16,0,80,0,15,0,7,0
Starter OOPProject-Template,com.client.controllers,RankingsController,327,0,30,0,75,0,20,0,5,0
Starter OOPProject-Template,com.client.controllers,SignupController,988,0,80,0,198,0,59,0,19,0
Starter OOPProject-Template,com.client.controllers,SinglePostController,251,0,30,0,62,0,23,0,8,0
Starter OOPProject-Template,com.client.controllers,PostCreatorController,702,0,54,0,185,0,40,0,13,0
Starter OOPProject-Template,com.client.controllers,GoalsController,18,0,0,0,12,0,10,0,10,0
Starter OOPProject-Template,com.client.controllers,PostGroupController,165,0,10,0,48,0,9,0,4,0
Starter OOPProject-Template,com.client.controllers,LoginController,234,0,14,0,66,0,18,0,11,0
Starter OOPProject-Template,com.client.controllers,BadgeDrawerController,209,0,20,0,49,0,14,0,4,0
Starter OOPProject-Template,com.client.controllers,FriendsController,265,0,18,0,67,0,20,0,11,0
Starter OOPProject-Template,com.client.controllers,DashboardController,822,0,34,0,180,0,32,0,15,0
Starter OOPProject-Template,com.server.endpoints,ProfileEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.server.endpoints,PostEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.server.endpoints,ScoreEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.server.endpoints,FriendEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.server.endpoints,AuthenticationEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.client.logic,LifeStyleSurvey,20,153,13,15,1,47,9,20,0,15
Starter OOPProject-Template,com.client.logic,TransportationPost,26,72,7,5,5,21,7,7,1,7
Starter OOPProject-Template,com.client.logic,TransportationSurvey,11,115,2,16,1,38,3,18,1,11
Starter OOPProject-Template,com.client.logic,PostCatalog,76,0,8,0,21,0,11,0,7,0
Starter OOPProject-Template,com.client.logic,ScoreCalc,59,0,8,0,20,0,10,0,6,0
Starter OOPProject-Template,com.client.logic,Calculations,46,953,22,105,20,274,23,86,1,19
Starter OOPProject-Template,com.client.logic,Profile,234,72,47,1,50,28,37,10,13,10
Starter OOPProject-Template,com.client.logic,User,0,56,0,6,0,19,0,10,0,7
Starter OOPProject-Template,com.client.logic,Score,54,49,12,0,15,21,10,7,4,7
Starter OOPProject-Template,com.client.logic,Achievement,461,180,75,15,134,56,61,24,16,24
Starter OOPProject-Template,com.client.logic,ConsumptionPost,14,72,7,5,4,23,6,8,0,8
Starter OOPProject-Template,com.client.logic,EnergySurvey,13,135,2,18,1,45,3,21,1,13
Starter OOPProject-Template,com.client.logic,Survey,0,3,0,0,0,1,0,1,0,1
Starter OOPProject-Template,com.client.logic,FriendRelationship,0,33,0,0,0,14,0,7,0,7
Starter OOPProject-Template,com.client.logic,FoodPost,18,72,10,6,4,22,8,7,0,7
Starter OOPProject-Template,com.client.logic,SuperPost,17,78,6,6,7,25,7,10,1,10
Starter OOPProject-Template,com.client.logic,Streak,14,0,0,0,5,0,3,0,3,0
Starter OOPProject-Template,com.client.logic,FoodSurvey,35,171,18,20,1,57,13,23,1,16
Starter OOPProject-Template,com.client.logic,SignUpUser,147,73,44,0,35,30,25,15,3,15
Starter OOPProject-Template,com.client.logic,RankingEntry,4,62,3,5,2,20,3,9,0,8
Starter OOPProject-Template,com.client.clientendpoints,ScoreEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.client.clientendpoints,PostEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.client.clientendpoints,AuthenticationEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.client.clientendpoints,FriendEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.client.clientendpoints,ProfileEndpoints,3,0,0,0,1,0,1,0,1,0
Starter OOPProject-Template,com.server.database,DbAdapter,103,10,7,1,39,5,10,3,6,3
Starter OOPProject-Template,com.server.database,DatabaseProfile,738,286,36,10,207,71,35,14,13,13
Starter OOPProject-Template,com.server.database,FriendDatabaseManager,129,38,1,3,26,14,8,6,7,5
Starter OOPProject-Template,com.server.database,DbImplement,573,247,8,14,177,66,21,17,15,12
Starter OOPProject-Template,com.server.database,DatabaseManager,34,123,1,3,7,33,7,17,6,16
Starter OOPProject-Template,com.server.database,DatabaseProfileManager,58,30,1,3,12,12,9,6,8,5
Starter OOPProject-Template,com.server.database,DbFriendship,130,177,5,17,49,51,9,16,5,9
